depth,tempdepth,temp,EdZTilt,EdZRoll,EdZPitch,Ed0Tilt,Ed0Roll,Ed0Pitch
2.366914,2.719914,21.49836,3.59133,3.566888,-0.4193665,-2.728975,-1.747616,2.097282
2.379615,2.732615,21.4917,3.59133,3.566888,-0.4193665,-2.774196,-1.817544,2.097282
2.391414,2.744414,21.49273,3.541066,3.496861,-0.5591593,-2.865901,-2.027343,2.027343
2.40302,2.75602,21.49159,3.541066,3.496861,-0.5591593,-2.865901,-2.027343,2.027343
2.414828,2.767828,21.5001,3.552716,3.496861,-0.6290568,-2.768888,-1.887474,2.027343
2.427026,2.780026,21.49286,3.565691,3.496861,-0.6989553,-2.915713,-2.097282,2.027343
2.438498,2.791498,21.4808,3.579978,3.496861,-0.7688549,-2.971295,-2.23717,1.957407
2.449867,2.802867,21.48084,3.612423,3.496861,-0.9086576,-2.925791,-2.23717,1.887474
2.46132,2.81432,21.48527,3.649914,3.496861,-1.048466,-2.919076,-2.167225,1.957407
2.472135,2.825135,21.49349,3.71527,3.496861,-1.25819,-2.925791,-2.23717,1.887474
2.483815,2.836815,21.48131,3.69978,3.426839,-1.398015,-2.925791,-2.23717,1.887474
2.495036,2.848036,21.47867,3.754591,3.426839,-1.537848,-3.077845,-2.377071,1.957407
2.506416,2.859416,21.4751,3.754591,3.426839,-1.537848,-3.033952,-2.377071,1.887474
2.517261,2.870261,21.48218,3.782654,3.356823,-1.747616,-2.979541,-2.307119,1.887474
2.528696,2.881696,21.48679,3.753948,3.286811,-1.817544,-3.033952,-2.377071,1.887474
2.538353,2.891353,21.47971,3.753948,3.286811,-1.817544,-2.925791,-2.23717,1.887474
2.550263,2.903263,21.48608,3.753948,3.286811,-1.817544,-2.87274,-2.167225,1.887474
2.560363,2.913363,21.48319,3.720741,3.286811,-1.747616,-2.925791,-2.23717,1.887474
2.570731,2.923731,21.48655,3.692891,3.216805,-1.817544,-2.925791,-2.23717,1.887474
2.580624,2.933624,21.49202,3.659124,3.216805,-1.747616,-2.925791,-2.23717,1.887474
2.590442,2.943442,21.48618,3.532267,3.146803,-1.607768,-2.820424,-2.097282,1.887474
2.60087,2.95387,21.4849,3.506291,3.216805,-1.398015,-2.816944,-2.027343,1.957407
2.610933,2.963933,21.48173,3.453148,3.216805,-1.25819,-2.816944,-2.027343,1.957407
2.621093,2.974093,21.49276,3.273025,3.076806,-1.118372,-2.966337,-2.167225,2.027343
2.630537,2.983537,21.47907,3.274861,3.146803,-0.9086576,-2.816944,-1.957407,2.027343
2.640559,2.993559,21.47942,3.291553,3.216805,-0.6989553,-2.964682,-2.097282,2.097282
2.649855,3.002855,21.48055,3.313341,3.286811,-0.4193665,-2.964682,-2.097282,2.097282
2.660404,3.013404,21.47559,3.298628,3.286811,-0.2795763,-2.816944,-1.957407,2.027343
2.669737,3.022737,21.48459,3.289769,3.286811,-0.1397877,-2.915713,-2.097282,2.027343
2.680544,3.033544,21.48495,3.289769,3.286811,-0.1397877,-3.122686,-2.377071,2.027343
2.690164,3.043164,21.46952,3.289769,3.286811,-0.1397877,-3.017732,-2.23717,2.027343
2.700102,3.053102,21.47329,3.359719,3.356823,-0.1397877,-3.069861,-2.307119,2.027343
2.709832,3.062832,21.47359,3.305257,3.286811,-0.3494712,-3.274525,-2.516986,2.097282
2.719037,3.072037,21.47433,3.333829,3.286811,-0.5591593,-3.274525,-2.516986,2.097282
2.728213,3.081213,21.48225,3.40957,3.286811,-0.9086576,-3.274525,-2.516986,2.097282
2.737625,3.090625,21.47776,3.534631,3.216805,-1.46793,-3.319641,-2.516986,2.167225
